Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,9/14/2021 5:53,FALSE,Athens Running,11,"1,369",1:27:21,160,177,4.1,150,164,7:56,6:31,582,551,1.35,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:01.4,12,0,--,--,--,--,--,--,--,0:00:00,1:27:55,632,756
Pool Swimming,9/13/2021 17:33,FALSE,Pool Swimming,"1,525",307,0:45:02,125,152,1.9,--,--,1:47,0:52,--,--,0,0,0,0,0,0,824,40,30,--,--,0:00,0,0:00,No,00:15.1,51,0,--,--,--,--,--,--,--,0:00:00,0:48:57,--,--
Running,9/12/2021 7:14,FALSE,Athens Running,13.14,"1,649",1:42:40,166,179,4.6,149,196,7:49,4:29,777,732,1.39,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,01:08.3,14,0,--,--,--,--,--,--,--,0:00:00,1:43:56,581,781
Running,9/10/2021 6:04,FALSE,Athens Running,9.01,"1,129",1:08:48,165,180,4.2,155,169,7:38,6:17,553,503,1.36,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:02.3,10,0,--,--,--,--,--,--,--,0:00:00,1:08:58,634,741
Running,9/9/2021 18:37,FALSE,Athens Running,4.01,484,0:30:05,161,187,3.3,148,169,7:31,5:26,52,61,1.45,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:02.2,5,0,--,--,--,--,--,--,--,0:00:00,0:30:05,761,784
Indoor Cycling,9/9/2021 6:49,FALSE,Indoor Cycling,0,289,0:30:01,121,147,1.1,--,--,--,--,--,--,0,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,30:01.1,1,0,--,--,--,--,--,--,--,0:00:00,0:30:01,--,--
Running,9/8/2021 6:24,FALSE,Athens Running,4.01,510,0:39:58,140,155,2.3,146,160,9:58,8:36,171,117,1.11,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:05.4,5,0,--,--,--,--,--,--,--,0:00:00,0:39:58,635,741
Pool Swimming,9/7/2021 17:31,FALSE,Pool Swimming,725,148,0:22:53,129,160,1.9,--,--,1:50,1:14,--,--,0,0,0,0,0,0,399,41,30,--,--,0:00,0,0:00,No,00:12.7,31,0,--,--,--,--,--,--,--,0:00:00,0:25:03,--,--
Running,9/5/2021 7:18,FALSE,Athens Running,13.05,"1,587",1:44:06,157,174,4.1,148,174,7:59,5:29,616,607,1.36,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:25.2,14,0,--,--,--,--,--,--,--,0:00:00,1:47:57,581,781
Running,9/3/2021 16:24,FALSE,Athens Running,10.4,"1,274",1:21:19,160,174,3.9,149,180,7:49,5:41,639,553,1.38,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,03:02.6,11,0,--,--,--,--,--,--,--,0:00:00,1:22:11,628,741
Running,9/2/2021 18:36,FALSE,Athens Running,5.01,645,0:39:25,164,180,3.6,148,194,7:52,4:37,328,328,1.38,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:05.5,6,0,--,--,--,--,--,--,--,0:00:00,0:41:56,629,781
Indoor Cycling,9/2/2021 6:47,FALSE,Indoor Cycling,0,270,0:30:02,118,129,0.9,--,--,--,--,--,--,0,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,30:01.7,1,0,--,--,--,--,--,--,--,0:00:00,0:30:54,--,--
Pool Swimming,9/1/2021 17:32,FALSE,Pool Swimming,"1,000",198,0:32:39,119,150,1.3,--,--,1:48,1:10,--,--,0,0,0,0,0,0,553,41,31,--,--,0:00,0,0:00,No,00:10.2,39,0,--,--,--,--,--,--,--,0:00:00,0:35:55,--,--
Running,9/1/2021 5:29,FALSE,Athens Running,7.03,795,0:51:35,159,182,3.5,152,194,7:20,4:25,191,175,1.42,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:12.6,18,0,--,--,--,--,--,--,--,0:00:00,1:01:37,719,736
Pool Swimming,8/31/2021 17:34,FALSE,Pool Swimming,"1,075",225,0:43:15,118,159,1.4,--,--,1:38,0:53,--,--,0,0,0,0,0,0,545,37,31,--,--,0:00,0,0:00,No,00:04.6,44,0,--,--,--,--,--,--,--,0:00:00,0:47:44,--,--
Running,8/31/2021 6:21,FALSE,Athens Running,8.02,990,1:04:51,157,175,3.6,148,160,8:05,6:03,455,381,1.34,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:07.2,9,0,--,--,--,--,--,--,--,0:00:00,1:05:43,634,741
Indoor Cycling,8/30/2021 19:19,FALSE,Indoor Cycling,0,245,0:30:01,114,123,0.8,--,--,--,--,--,--,0,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,30:01.2,1,0,--,--,--,--,--,--,--,0:00:00,0:32:04,--,--
Running,8/29/2021 6:30,FALSE,Athens Running,12.08,"1,541",1:40:29,165,177,4.3,147,164,8:19,6:41,759,664,1.32,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:48.2,13,0,--,--,--,--,--,--,--,0:00:00,1:44:50,581,781
Running,8/27/2021 6:18,FALSE,Athens Running,6.22,782,0:49:10,162,177,3.6,150,167,7:54,6:41,419,366,1.36,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,01:37.5,7,0,--,--,--,--,--,--,--,0:00:00,0:50:28,633,741
Pool Swimming,8/26/2021 17:21,FALSE,Pool Swimming,"1,625",325,0:55:52,124,155,2,--,--,1:57,0:49,--,--,0,0,0,0,0,0,990,44,31,--,--,0:00,0,0:00,No,00:03.2,58,0,--,--,--,--,--,--,--,0:00:00,0:57:41,--,--
Running,8/26/2021 6:22,FALSE,Athens Running,4.22,523,0:41:19,141,155,2.4,146,164,9:47,8:33,249,202,1.12,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,02:12.7,5,0,--,--,--,--,--,--,--,0:00:00,0:41:19,634,741
Running,8/25/2021 6:16,FALSE,Athens Running,6.23,772,0:47:33,162,177,3.7,151,182,7:38,4:24,386,378,1.4,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,01:26.3,7,0,--,--,--,--,--,--,--,0:00:00,0:48:06,634,741
Pool Swimming,8/24/2021 17:17,FALSE,Pool Swimming,"1,000",202,0:34:51,141,181,2.6,--,--,1:47,1:01,--,--,0,0,0,0,0,0,555,41,31,--,--,0:00,0,0:00,No,00:09.6,57,0,--,--,--,--,--,--,--,0:00:00,0:39:20,--,--
Running,8/24/2021 6:14,FALSE,Athens Running,9,"1,118",1:10:20,163,175,3.9,149,164,7:49,6:36,553,524,1.38,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:01.5,10,0,--,--,--,--,--,--,--,0:00:00,1:11:07,628,741
Running,8/22/2021 7:54,FALSE,Athens Running,8.01,"1,048",1:04:54,166,178,4,147,159,8:06,6:57,513,429,1.35,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:04.0,9,0,--,--,--,--,--,--,--,0:00:00,1:05:10,629,741
Running,8/21/2021 9:27,FALSE,Athens Running,3.32,502,0:31:56,157,165,3.1,143,154,9:37,8:16,131,73,1.17,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,02:59.2,4,0,--,--,--,--,--,--,--,0:00:00,0:31:56,632,741
Pool Swimming,8/20/2021 17:07,FALSE,Pool Swimming,"1,300",262,0:42:46,125,158,1.9,--,--,1:43,0:50,--,--,0,0,0,0,0,0,672,39,30,--,--,0:00,0,0:00,No,00:08.0,57,0,--,--,--,--,--,--,--,0:00:00,0:50:24,--,--
Running,8/19/2021 5:54,FALSE,Athens Running,5.18,638,0:38:43,166,188,3.5,148,194,7:29,4:24,158,158,1.43,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.8,14,0,--,--,--,--,--,--,--,0:00:00,0:46:46,719,736
Running,8/18/2021 5:55,FALSE,Athens Running,8.3,"1,094",1:05:10,168,177,4.4,146,158,7:51,6:29,502,497,1.4,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,02:18.0,9,0,--,--,--,--,--,--,--,0:00:00,1:05:26,630,741
Pool Swimming,8/17/2021 17:26,FALSE,Pool Swimming,800,163,0:31:04,118,147,1.1,--,--,1:35,0:38,--,--,0,0,0,0,0,0,409,36,32,--,--,0:00,0,0:00,No,00:05.8,53,0,--,--,--,--,--,--,--,0:00:00,0:31:11,--,--
Running,8/16/2021 6:20,FALSE,Athens Running,8.7,"1,070",1:09:50,169,181,4.8,148,164,8:02,6:10,489,454,1.4,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:28.9,9,0,--,--,--,--,--,--,--,0:00:00,1:08:09,629,741
Pool Swimming,8/15/2021 18:09,FALSE,Pool Swimming,"1,250",254,0:46:51,120,147,1.6,--,--,1:41,0:57,--,--,0,0,0,0,0,0,636,38,30,--,--,0:00,0,0:00,No,00:05.1,73,0,--,--,--,--,--,--,--,0:00:00,0:48:34,--,--
Running,8/13/2021 6:22,FALSE,Athens Running,7.35,974,0:55:50,172,182,4.7,150,165,7:36,6:38,432,380,1.41,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,02:35.2,8,0,--,--,--,--,--,--,--,0:00:00,0:56:09,629,741
Running,8/12/2021 18:37,FALSE,Athens Running,4.9,724,0:46:26,157,168,3.4,143,160,9:29,6:22,215,207,1.18,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,08:21.3,5,0,--,--,--,--,--,--,--,0:00:00,0:47:42,629,781
Running,8/11/2021 6:29,FALSE,Athens Running,4.01,488,0:28:22,170,184,3.5,155,184,7:05,5:45,189,180,1.47,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:02.6,5,0,--,--,--,--,--,--,--,0:28:21,0:28:22,635,741
Pool Swimming,8/10/2021 17:34,FALSE,Pool Swimming,550,121,0:18:56,108,136,0.5,--,--,1:37,0:52,--,--,0,0,0,0,0,0,266,36,30,--,--,0:00,0,0:00,No,00:01.8,31,0,--,--,--,--,--,--,--,08:51.7,0:24:20,--,--
Running,8/10/2021 6:03,FALSE,Athens Running,8.01,"1,039",1:04:42,160,176,4.1,147,165,8:04,6:55,502,430,1.36,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:05.1,9,0,--,--,--,--,--,--,--,1:04:39,1:05:07,635,741
Pool Swimming,8/9/2021 17:32,FALSE,Pool Swimming,"1,200",243,0:45:57,121,146,1.7,--,--,1:37,0:59,--,--,0,0,0,0,0,0,623,37,32,--,--,0:00,0,0:00,No,00:00.6,88,0,--,--,--,--,--,--,--,0:19:18,0:48:35,--,--
Running,8/8/2021 7:16,FALSE,Athens Running,12.01,"1,514",1:34:18,164,176,4.5,149,170,7:51,6:36,612,568,1.38,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:04.5,13,0,--,--,--,--,--,--,--,1:34:02,1:38:30,581,781
Running,8/7/2021 9:51,FALSE,Athens Running,2.14,307,0:19:48,153,166,2.6,143,154,9:15,8:29,114,46,1.21,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,01:13.9,3,0,--,--,--,--,--,--,--,0:19:48,0:19:48,647,741
Running,8/7/2021 9:25,FALSE,Athens Running,2,280,0:21:19,141,155,2.1,143,160,10:39,7:40,105,118,1.06,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:02.0,3,0,--,--,--,--,--,--,--,0:21:16,0:24:14,633,741
Running,8/6/2021 17:54,FALSE,Athens Running,6.22,789,0:48:32,161,173,3.7,147,158,7:48,6:46,390,352,1.4,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,01:41.2,7,0,--,--,--,--,--,--,--,0:48:25,0:49:15,636,741
Running,8/5/2021 18:35,FALSE,Athens Running,4.94,642,0:37:36,167,187,3.9,147,169,7:36,5:25,313,307,1.44,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,06:33.0,5,0,--,--,--,--,--,--,--,0:37:26,0:38:37,629,781
Pool Swimming,8/4/2021 17:28,FALSE,Pool Swimming,825,173,0:29:42,123,151,1.5,--,--,1:38,0:55,--,--,0,0,0,0,0,0,417,37,31,--,--,0:00,0,0:00,No,00:02.1,57,0,--,--,--,--,--,--,--,0:13:25,0:35:35,--,--
Running,8/4/2021 5:43,FALSE,Athens Running,8.05,"1,105",1:04:02,171,184,4.8,146,167,7:57,6:46,442,365,1.39,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:23.1,9,0,--,--,--,--,--,--,--,1:03:52,1:04:43,634,741
Pool Swimming,8/3/2021 17:44,FALSE,Pool Swimming,"1,100",237,0:39:37,117,146,1.3,--,--,1:41,0:50,--,--,0,0,0,0,0,0,560,38,30,--,--,0:00,0,0:00,No,00:02.1,70,0,--,--,--,--,--,--,--,0:18:30,0:44:29,--,--
Running,8/1/2021 7:52,FALSE,Athens Running,11.43,"1,561",1:32:59,170,186,5,145,177,8:08,6:31,768,681,1.37,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,03:42.0,12,0,--,--,--,--,--,--,--,1:32:41,1:38:11,581,781
Pool Swimming,7/31/2021 14:56,FALSE,Pool Swimming,625,136,0:25:17,123,155,1.5,--,--,1:37,0:55,--,--,0,0,0,0,0,0,322,37,32,--,--,0:00,0,0:00,No,00:00.4,45,0,--,--,--,--,--,--,--,0:10:04,0:36:52,--,--
Running,7/31/2021 8:10,FALSE,Athens Running,0.99,87,05:09.8,170,189,2,161,210,5:12,4:09,27,18,1.92,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,05:09.8,1,0,--,--,--,--,--,--,--,05:09.8,05:09.8,761,781
Running,7/29/2021 18:37,FALSE,Athens Running,3.3,467,0:30:27,155,168,3,146,157,9:14,7:22,159,163,1.19,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,02:53.3,4,0,--,--,--,--,--,--,--,0:30:26,0:30:32,630,781
Pool Swimming,7/29/2021 6:26,FALSE,Pool Swimming,550,113,0:21:15,121,161,1.3,--,--,1:45,0:50,--,--,0,0,0,0,0,0,290,39,30,--,--,0:00,0,0:00,No,00:03.3,33,0,--,--,--,--,--,--,--,09:35.1,0:30:40,--,--
Pool Swimming,7/28/2021 17:16,FALSE,Pool Swimming,550,111,0:22:24,127,164,1.5,--,--,1:43,1:07,--,--,0,0,0,0,0,0,274,38,29,--,--,0:00,0,0:00,No,00:09.3,35,0,--,--,--,--,--,--,--,09:29.0,0:24:36,--,--
Running,7/28/2021 5:34,FALSE,Athens Running,5.23,622,0:39:52,163,189,3.4,147,200,7:37,3:50,139,139,1.41,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:09.0,17,0,--,--,--,--,--,--,--,0:39:23,0:50:54,719,738
Pool Swimming,7/27/2021 17:24,FALSE,Pool Swimming,750,156,0:25:32,122,146,1.3,--,--,1:41,0:52,--,--,0,0,0,0,0,0,383,38,30,--,--,0:00,0,0:00,No,00:01.1,53,0,--,--,--,--,--,--,--,0:12:35,0:40:32,--,--
Running,7/26/2021 18:55,FALSE,Athens Running,3.51,451,0:27:39,163,177,3.3,150,173,7:53,6:53,116,103,1.36,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,03:50.5,4,0,--,--,--,--,--,--,--,0:27:37,0:27:39,634,741
Running,7/25/2021 12:03,FALSE,Athens Running,6.22,846,0:48:43,173,185,4.4,147,164,7:50,6:27,400,379,1.39,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,01:37.8,7,0,--,--,--,--,--,--,--,0:48:35,0:49:25,634,741
Pool Swimming,7/23/2021 18:08,FALSE,Pool Swimming,500,112,0:19:34,123,152,1.2,--,--,1:27,0:44,--,--,0,0,0,0,0,0,219,33,30,--,--,0:00,0,0:00,No,00:03.1,32,0,--,--,--,--,--,--,--,07:16.3,0:37:25,--,--
Running,7/23/2021 6:22,FALSE,Athens Running,3.11,362,0:21:03,171,187,3.3,154,167,6:46,5:18,115,28,1.54,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:49.8,4,0,--,--,--,--,--,--,--,0:21:01,0:21:41,636,741
Pool Swimming,7/22/2021 17:59,FALSE,Pool Swimming,975,205,0:47:33,117,170,1.6,--,--,1:58,1:01,--,--,0,0,0,0,0,0,573,44,30,--,--,0:00,0,0:00,No,00:00.0,61,0,--,--,--,--,--,--,--,0:19:12,0:55:31,--,--
Running,7/22/2021 6:19,FALSE,Athens Running,6.23,833,0:49:56,167,185,4.2,148,162,8:01,6:40,387,327,1.35,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,01:41.2,7,0,--,--,--,--,--,--,--,0:49:52,0:51:08,635,741
Pool Swimming,7/21/2021 18:09,FALSE,Pool Swimming,975,197,0:35:52,115,144,1,--,--,1:49,0:48,--,--,0,0,0,0,0,0,533,41,30,--,--,0:00,0,0:00,No,00:02.8,51,0,--,--,--,--,--,--,--,0:17:41,0:42:20,--,--
Running,7/21/2021 6:05,FALSE,Athens Running,5.7,648,0:42:28,162,188,3.4,149,206,7:27,4:02,97,93,1.43,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:17.8,19,0,--,--,--,--,--,--,--,0:42:20,0:56:17,719,736
Running,7/18/2021 7:10,FALSE,Athens Running,16.01,"1,999",2:07:33,165,177,5,147,192,7:58,5:11,851,866,1.37,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:04.3,17,0,--,--,--,--,--,--,--,2:06:58,2:16:37,581,781
Pool Swimming,7/17/2021 14:14,FALSE,Pool Swimming,700,141,0:26:51,121,164,1.1,--,--,1:51,1:11,--,--,0,0,0,0,0,0,342,40,26,--,--,0:00,0,0:00,No,00:06.8,50,0,--,--,--,--,--,--,--,0:13:00,0:29:38,--,--
Pool Swimming,7/16/2021 17:02,FALSE,Pool Swimming,975,195,0:32:45,123,152,1.4,--,--,1:42,0:45,--,--,0,0,0,0,0,0,518,39,31,--,--,0:00,0,0:00,No,00:05.4,59,0,--,--,--,--,--,--,--,0:16:39,0:36:03,--,--
Running,7/16/2021 6:25,FALSE,Athens Running,6.22,822,0:49:42,165,177,4,150,162,7:59,6:59,384,354,1.35,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,01:39.2,7,0,--,--,--,--,--,--,--,0:49:34,0:49:52,634,741
Running,7/15/2021 18:42,FALSE,Athens Running,4.28,590,0:33:50,172,185,3.8,147,167,7:54,5:31,294,229,1.38,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,02:08.4,5,0,--,--,--,--,--,--,--,0:33:43,0:33:59,630,781
Pool Swimming,7/14/2021 18:11,FALSE,Pool Swimming,625,125,0:20:31,124,152,1.2,--,--,1:38,0:51,--,--,0,0,0,0,0,0,318,37,31,--,--,0:00,0,0:00,No,00:03.4,39,0,--,--,--,--,--,--,--,0:10:13,0:23:11,--,--
Running,7/14/2021 5:53,FALSE,Athens Running,6.33,717,0:46:35,162,183,3.4,153,184,7:21,4:37,53,53,1.41,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:20.7,25,0,--,--,--,--,--,--,--,0:46:25,0:59:25,719,738
Pool Swimming,7/13/2021 17:25,FALSE,Pool Swimming,475,100,0:19:13,121,143,1,--,--,1:51,1:05,--,--,0,0,0,0,0,0,239,40,27,--,--,0:00,0,0:00,No,00:01.7,35,0,--,--,--,--,--,--,--,08:44.9,0:21:39,--,--
Running,7/13/2021 6:21,FALSE,Athens Running,8.02,"1,011",1:00:22,168,181,4.4,151,162,7:32,6:23,483,428,1.42,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:08.6,9,0,--,--,--,--,--,--,--,1:00:12,1:00:59,634,741
Pool Swimming,7/12/2021 18:37,FALSE,Pool Swimming,725,148,0:31:12,115,142,1,--,--,1:56,1:05,--,--,0,0,0,0,0,0,379,42,27,--,--,0:00,0,0:00,No,00:02.8,57,0,--,--,--,--,--,--,--,0:13:58,0:43:10,--,--
Running,7/11/2021 7:04,FALSE,Athens Running,15.01,"1,874",1:59:55,163,176,4.7,150,181,7:59,5:24,718,676,1.34,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:02.6,16,0,--,--,--,--,--,--,--,1:59:33,2:08:07,581,781
Pool Swimming,7/10/2021 12:54,FALSE,Pool Swimming,525,105,0:20:31,117,136,0.8,--,--,1:49,1:16,--,--,0,0,0,0,0,0,268,40,28,--,--,0:00,0,0:00,No,00:05.1,42,0,--,--,--,--,--,--,--,09:31.8,0:20:39,--,--
Running,7/10/2021 7:12,FALSE,Athens Running,2.97,391,0:32:27,139,163,2.1,145,167,10:56,7:55,180,203,1.01,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,10:04.0,3,0,--,--,--,--,--,--,--,0:32:24,0:41:33,604,749
Running,7/9/2021 6:53,FALSE,Athens Running,8,"1,062",1:04:35,163,176,4.3,151,179,8:04,7:03,464,454,1.32,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:01.7,9,0,--,--,--,--,--,--,--,1:04:29,1:06:54,630,741
Running,7/8/2021 18:36,FALSE,Athens Running,4.92,679,0:46:50,151,171,3.2,144,158,9:31,7:37,350,351,1.17,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,08:32.6,5,0,--,--,--,--,--,--,--,0:46:38,0:48:37,630,781
Running,7/8/2021 17:40,FALSE,Athens Running,1.35,177,0:12:38,143,159,2.1,146,160,9:19,7:34,73,74,1.18,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,03:17.2,2,0,--,--,--,--,--,--,--,0:12:26,0:12:55,604,661
Pool Swimming,7/7/2021 18:27,FALSE,Pool Swimming,700,140,0:30:56,119,143,1.2,--,--,1:58,1:16,--,--,0,0,0,0,0,0,384,43,28,--,--,0:00,0,0:00,No,00:06.8,56,0,--,--,--,--,--,--,--,0:13:45,0:31:20,--,--
Running,7/7/2021 6:33,FALSE,Athens Running,6.01,743,0:47:00,158,171,3.5,155,170,7:49,6:43,366,342,1.33,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:04.6,7,0,--,--,--,--,--,--,--,0:46:43,0:48:32,635,741
Pool Swimming,7/6/2021 18:36,FALSE,Pool Swimming,800,160,0:33:11,125,167,1.5,--,--,2:06,1:35,--,--,0,0,0,0,0,0,478,47,28,--,--,0:00,0,0:00,No,00:01.9,66,0,--,--,--,--,--,--,--,0:16:51,0:33:17,--,--
Running,7/6/2021 7:02,FALSE,Athens Running,4.03,473,0:28:27,166,180,3.3,154,179,7:03,5:56,230,247,1.48,0,0,0,0,0,--,--,--,--,--,0:00,0,0:00,No,00:09.6,8,0,--,--,--,--,--,--,--,0:28:24,0:29:42,632,781
