Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-09-17 06:23:28,false,"Athens Running","8.01","989","00:58:21","171","185","4.6","151","167","7:17","5:53","489","414","1.46","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:03.39","9","0.0","--","--","--","--","--","--","--","00:00:00","00:59:46","634","741"
Running,2021-09-15 17:41:02,false,"Athens Running","5.01","636","00:39:07","163","178","3.5","149","173","7:49","6:55","278","261","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:01.99","6","0.0","--","--","--","--","--","--","--","00:00:00","00:39:11","631","741"
Indoor Cycling,2021-09-15 06:20:53,false,"Indoor Cycling","0.00","244","00:30:00","113","131","0.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","30:00.19","1","0.0","--","--","--","--","--","--","--","00:00:00","00:44:56","--","--"
Running,2021-09-14 05:53:40,false,"Athens Running","11.00","1,369","01:27:21","160","177","4.1","150","164","7:56","6:31","582","551","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:01.37","12","0.0","--","--","--","--","--","--","--","00:00:00","01:27:55","632","756"
Pool Swimming,2021-09-13 17:33:30,false,"Pool Swimming","1,525","307","00:45:02","125","152","1.9","--","--","1:47","0:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","824","40","30","--","--","0:00","0.0","0:00","No","00:15.12","51","0.0","--","--","--","--","--","--","--","00:00:00","00:48:57","--","--"
Running,2021-09-12 07:14:33,false,"Athens Running","13.14","1,649","01:42:40","166","179","4.6","149","196","7:49","4:29","777","732","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:08.32","14","0.0","--","--","--","--","--","--","--","00:00:00","01:43:56","581","781"
Running,2021-09-10 06:04:09,false,"Athens Running","9.01","1,129","01:08:48","165","180","4.2","155","169","7:38","6:17","553","503","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.27","10","0.0","--","--","--","--","--","--","--","00:00:00","01:08:58","634","741"
Running,2021-09-09 18:37:27,false,"Athens Running","4.01","484","00:30:05","161","187","3.3","148","169","7:31","5:26","52","61","1.45","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.20","5","0.0","--","--","--","--","--","--","--","00:00:00","00:30:05","761","784"
Indoor Cycling,2021-09-09 06:49:27,false,"Indoor Cycling","0.00","289","00:30:01","121","147","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","30:01.13","1","0.0","--","--","--","--","--","--","--","00:00:00","00:30:01","--","--"
Running,2021-09-08 06:24:15,false,"Athens Running","4.01","510","00:39:58","140","155","2.3","146","160","9:58","8:36","171","117","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:05.37","5","0.0","--","--","--","--","--","--","--","00:00:00","00:39:58","635","741"
Pool Swimming,2021-09-07 17:31:59,false,"Pool Swimming","725","148","00:22:53","129","160","1.9","--","--","1:50","1:14","--","--","0.00","0.0","0.0","0.0","0.0","0.0","399","41","30","--","--","0:00","0.0","0:00","No","00:12.66","31","0.0","--","--","--","--","--","--","--","00:00:00","00:25:03","--","--"
Running,2021-09-05 07:18:09,false,"Athens Running","13.05","1,587","01:44:06","157","174","4.1","148","174","7:59","5:29","616","607","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:25.20","14","0.0","--","--","--","--","--","--","--","00:00:00","01:47:57","581","781"
Running,2021-09-03 16:24:25,false,"Athens Running","10.40","1,274","01:21:19","160","174","3.9","149","180","7:49","5:41","639","553","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","03:02.62","11","0.0","--","--","--","--","--","--","--","00:00:00","01:22:11","628","741"
Running,2021-09-02 18:36:13,false,"Athens Running","5.01","645","00:39:25","164","180","3.6","148","194","7:52","4:37","328","328","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:05.52","6","0.0","--","--","--","--","--","--","--","00:00:00","00:41:56","629","781"
Indoor Cycling,2021-09-02 06:47:13,false,"Indoor Cycling","0.00","270","00:30:02","118","129","0.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","30:01.68","1","0.0","--","--","--","--","--","--","--","00:00:00","00:30:54","--","--"
