"","labs","rows"
"392","Total","191 min"
"393","title","Athens Running"
"394","Distance","4.45 mi"
"395","Calories Burned","545 C"
"396","Calories Consumed","-- C"
"397","Calories Net","-545 C"
"398","Est. Sweat Loss","256 ml"
"399","Fluid Consumed","-- ml"
"400","Fluid Net","-256 ml"
"401","Aerobic","2.4 Maintaining"
"402","Anaerobic","0.0 No Benefit"
"403","Avg HR","141 bpm"
"404","Max HR","154 bpm"
"405","Time","42:43"
"406","Moving Time","42:42"
"407","Elapsed Time","42:47"
"408","Avg Speed","6.2 mph"
"409","Avg Moving Speed","6.2 mph"
"410","Max Speed","7.5 mph"
"411","Total Ascent","229.3 ft"
"412","Total Descent","173.9 ft"
"413","Min Elev","636.8 ft"
"414","Max Elev","741.5 ft"
"415","Avg Run Cadence","143 spm"
"416","Max Run Cadence","160 spm"
"417","Avg Stride Length","1.17 m"
"418","Moderate","1 min"
"419","Vigorous","41 min
x2"
"420","Total","83 min"
"421","title","Athens Running"
"422","Distance","18.00 mi"
"423","Calories Burned","2,194 C"
"424","Calories Consumed","-- C"
"425","Calories Net","-2,194 C"
"426","Est. Sweat Loss","866 ml"
"427","Fluid Consumed","-- ml"
"428","Fluid Net","-866 ml"
"429","Aerobic","5.0 Overreaching"
"430","Anaerobic","0.2 No Benefit"
"431","Avg HR","162 bpm"
"432","Max HR","177 bpm"
"433","Time","2:24:26"
"434","Moving Time","2:23:46"
"435","Elapsed Time","2:31:15"
"436","Avg Speed","7.5 mph"
"437","Avg Moving Speed","7.5 mph"
"438","Max Speed","9.9 mph"
"439","Total Ascent","1,042.5 ft"
"440","Total Descent","999.9 ft"
"441","Min Elev","580.7 ft"
"442","Max Elev","780.8 ft"
"443","Avg Run Cadence","148 spm"
"444","Max Run Cadence","184 spm"
"445","Avg Stride Length","1.36 m"
"446","Moderate","1 min"
"447","Vigorous","149 min
x2"
"448","Total","299 min"
"449","title","Athens Running"
"450","Distance","3.50 mi"
"451","Calories Burned","436 C"
"452","Calories Consumed","-- C"
"453","Calories Net","-436 C"
"454","Est. Sweat Loss","211 ml"
"455","Fluid Consumed","-- ml"
"456","Fluid Net","-211 ml"
"457","Aerobic","2.2 Maintaining"
"458","Anaerobic","0.0 No Benefit"
"459","Avg HR","137 bpm"
"460","Max HR","155 bpm"
"461","Time","35:11"
"462","Moving Time","35:10"
"463","Elapsed Time","35:11"
"464","Avg Speed","6.0 mph"
"465","Avg Moving Speed","6.0 mph"
"466","Max Speed","7.0 mph"
"467","Total Ascent","128.6 ft"
"468","Total Descent","64.3 ft"
"469","Min Elev","633.6 ft"
"470","Max Elev","741.5 ft"
"471","Avg Run Cadence","144 spm"
"472","Max Run Cadence","155 spm"
"473","Avg Stride Length","1.11 m"
"474","Moderate","1 min"
"475","Vigorous","33 min
x2"
"476","Total","67 min"
"477","title","Athens Running"
"478","Distance","11.03 mi"
"479","Calories Burned","1,341 C"
"480","Calories Consumed","-- C"
"481","Calories Net","-1,341 C"
"482","Est. Sweat Loss","522 ml"
"483","Fluid Consumed","-- ml"
"484","Fluid Net","-522 ml"
"485","Aerobic","4.1 Highly Impacting"
"486","Anaerobic","0.4 No Benefit"
"487","Avg HR","159 bpm"
"488","Max HR","175 bpm"
"489","Time","1:27:05"
"490","Moving Time","1:26:52"
"491","Elapsed Time","1:27:45"
"492","Avg Speed","7.6 mph"
"493","Avg Moving Speed","7.6 mph"
"494","Max Speed","8.7 mph"
"495","Total Ascent","579.8 ft"
"496","Total Descent","523.5 ft"
"497","Min Elev","634.4 ft"
"498","Max Elev","756.0 ft"
"499","Avg Run Cadence","147 spm"
"500","Max Run Cadence","158 spm"
"501","Avg Stride Length","1.39 m"
"502","Moderate","1 min"
"503","Vigorous","86 min
x2"
"504","Total","173 min"
"505","title","Athens Running"
"506","Distance","5.00 mi"
"507","Calories Burned","647 C"
"508","Calories Consumed","-- C"
"509","Calories Net","-647 C"
"510","Est. Sweat Loss","302 ml"
"511","Fluid Consumed","-- ml"
"512","Fluid Net","-302 ml"
"513","Aerobic","2.5 Maintaining"
"514","Anaerobic","0.0 No Benefit"
"515","Avg HR","143 bpm"
"516","Max HR","167 bpm"
"517","Time","50:29"
"518","Moving Time","50:26"
"519","Elapsed Time","50:42"
"520","Avg Speed","5.9 mph"
"521","Avg Moving Speed","6.0 mph"
"522","Max Speed","6.7 mph"
"523","Total Ascent","307.1 ft"
"524","Total Descent","281.4 ft"
"525","Min Elev","634.1 ft"
"526","Max Elev","741.5 ft"
"527","Avg Run Cadence","144 spm"
"528","Max Run Cadence","158 spm"
"529","Avg Stride Length","1.11 m"
"530","Moderate","1 min"
"531","Vigorous","49 min
x2"
"532","Total","99 min"
"533","title","Athens Running"
"534","Distance","10.00 mi"
"535","Calories Burned","1,196 C"
"536","Calories Consumed","-- C"
"537","Calories Net","-1,196 C"
"538","Est. Sweat Loss","441 ml"
"539","Fluid Consumed","-- ml"
"540","Fluid Net","-441 ml"
"541","Aerobic","4.6 Highly Impacting"
"542","Anaerobic","0.7 No Benefit"
"543","Avg HR","166 bpm"
"544","Max HR","184 bpm"
"545","Time","1:13:37"
"546","Moving Time","1:13:29"
"547","Elapsed Time","1:14:22"
"548","Avg Speed","8.2 mph"
"549","Avg Moving Speed","8.2 mph"
"550","Max Speed","10.0 mph"
"551","Total Ascent","591.3 ft"
"552","Total Descent","523.2 ft"
"553","Min Elev","633.7 ft"
"554","Max Elev","741.6 ft"
"555","Avg Run Cadence","153 spm"
"556","Max Run Cadence","170 spm"
"557","Avg Stride Length","1.43 m"
"558","Moderate","1 min"
"559","Vigorous","73 min
x2"
"560","Total","147 min"
"561","title","Athens Running"
"562","Distance","6.43 mi"
"563","Calories Burned","807 C"
"564","Calories Consumed","-- C"
"565","Calories Net","-807 C"
"566","Est. Sweat Loss","374 ml"
"567","Fluid Consumed","-- ml"
"568","Fluid Net","-374 ml"
"569","Aerobic","2.9 Maintaining"
"570","Anaerobic","0.0 No Benefit"
"571","Avg HR","146 bpm"
"572","Max HR","161 bpm"
"573","Time","1:02:19"
"574","Moving Time","1:01:46"
"575","Elapsed Time","1:03:49"
"576","Avg Speed","6.2 mph"
"577","Avg Moving Speed","6.2 mph"
"578","Max Speed","7.4 mph"
"579","Total Ascent","320.9 ft"
"580","Total Descent","275.9 ft"
"581","Min Elev","631.5 ft"
"582","Max Elev","741.5 ft"
"583","Avg Run Cadence","141 spm"
"584","Max Run Cadence","160 spm"
"585","Avg Stride Length","1.18 m"
"586","Moderate","1 min"
"587","Vigorous","61 min
x2"
"588","Total","123 min"
"589","title","Athens Running"
"590","Distance","16.00 mi"
"591","Calories Burned","1,905 C"
"592","Calories Consumed","-- C"
"593","Calories Net","-1,905 C"
"594","Est. Sweat Loss","723 ml"
"595","Fluid Consumed","-- ml"
"596","Fluid Net","-723 ml"
"597","Aerobic","5.0 Overreaching"
"598","Anaerobic","0.9 No Benefit"
"599","Avg HR","165 bpm"
"600","Max HR","187 bpm"
"601","Time","2:00:38"
"602","Moving Time","2:00:10"
"603","Elapsed Time","2:03:35"
"604","Avg Speed","8.0 mph"
"605","Avg Moving Speed","8.0 mph"
"606","Max Speed","10.8 mph"
"607","Total Ascent","823.0 ft"
"608","Total Descent","810.1 ft"
"609","Min Elev","580.7 ft"
"610","Max Elev","780.8 ft"
"611","Avg Run Cadence","155 spm"
"612","Max Run Cadence","184 spm"
"613","Avg Stride Length","1.38 m"
"614","Moderate","1 min"
"615","Vigorous","121 min
x2"
"616","Total","243 min"
"617","title","Athens Running"
"618","Distance","4.19 mi"
"619","Calories Burned","564 C"
"620","Calories Consumed","-- C"
"621","Calories Net","-564 C"
"622","Est. Sweat Loss","256 ml"
"623","Fluid Consumed","-- ml"
"624","Fluid Net","-256 ml"
"625","Aerobic","2.5 Maintaining"
"626","Anaerobic","0.0 No Benefit"
"627","Avg HR","148 bpm"
"628","Max HR","166 bpm"
"629","Time","42:47"
"630","Moving Time","42:47"
"631","Elapsed Time","42:47"
"632","Avg Speed","5.9 mph"
"633","Avg Moving Speed","5.9 mph"
"634","Max Speed","6.8 mph"
"635","Total Ascent","223.6 ft"
"636","Total Descent","192.8 ft"
"637","Min Elev","634.9 ft"
"638","Max Elev","741.5 ft"
"639","Avg Run Cadence","143 spm"
"640","Max Run Cadence","168 spm"
"641","Avg Stride Length","1.10 m"
"642","Moderate","0 min"
"643","Vigorous","40 min
x2"
"644","Total","80 min"
"645","title","Athens Running"
"646","Distance","11.00 mi"
"647","Calories Burned","1,369 C"
"648","Calories Consumed","-- C"
"649","Calories Net","-1,369 C"
"650","Est. Sweat Loss","518 ml"
"651","Fluid Consumed","-- ml"
"652","Fluid Net","-518 ml"
"653","Aerobic","4.4 Highly Impacting"
"654","Anaerobic","0.4 No Benefit"
"655","Avg HR","164 bpm"
"656","Max HR","182 bpm"
"657","Time","1:26:22"
"658","Moving Time","1:26:09"
"659","Elapsed Time","1:26:42"
"660","Avg Speed","7.6 mph"
"661","Avg Moving Speed","7.7 mph"
"662","Max Speed","8.8 mph"
"663","Total Ascent","543.1 ft"
"664","Total Descent","491.3 ft"
"665","Min Elev","631.5 ft"
"666","Max Elev","757.1 ft"
"667","Avg Run Cadence","149 spm"
"668","Max Run Cadence","169 spm"
"669","Avg Stride Length","1.37 m"
"670","Moderate","1 min"
"671","Vigorous","85 min
x2"
"672","Total","171 min"
"673","title","Athens Running"
"674","Distance","5.00 mi"
"675","Calories Burned","624 C"
"676","Calories Consumed","-- C"
"677","Calories Net","-624 C"
"678","Est. Sweat Loss","246 ml"
"679","Fluid Consumed","-- ml"
"680","Fluid Net","-246 ml"
"681","Aerobic","3.3 Impacting"
"682","Anaerobic","0.0 No Benefit"
"683","Avg HR","157 bpm"
"684","Max HR","173 bpm"
"685","Time","41:07"
"686","Moving Time","40:46"
"687","Elapsed Time","42:45"
"688","Avg Speed","7.3 mph"
"689","Avg Moving Speed","7.4 mph"
"690","Max Speed","10.7 mph"
"691","Total Ascent","298.7 ft"
"692","Total Descent","298.7 ft"
"693","Min Elev","629.5 ft"
"694","Max Elev","780.8 ft"
"695","Avg Run Cadence","147 spm"
"696","Max Run Cadence","192 spm"
"697","Avg Stride Length","1.33 m"
"698","Moderate","0 min"
"699","Vigorous","39 min
x2"
"700","Total","78 min"
"701","title","Athens Running"
"702","Distance","8.01 mi"
"703","Calories Burned","976 C"
"704","Calories Consumed","-- C"
"705","Calories Net","-976 C"
"706","Est. Sweat Loss","364 ml"
"707","Fluid Consumed","-- ml"
"708","Fluid Net","-364 ml"
