"","labs","rows"
"3560","Total Ascent","232.6 ft"
"3561","Total Descent","169.1 ft"
"3562","Min Elev","633.2 ft"
"3563","Max Elev","741.5 ft"
"3564","Avg Run Cadence","145 spm"
"3565","Max Run Cadence","162 spm"
"3566","Avg Stride Length","1.20 m"
"3567","title","Athens Running"
"3568","Distance","6.29 mi"
"3569","Calories Burned","788 C"
"3570","Calories Consumed","-- C"
"3571","Calories Net","-788 C"
"3572","Est. Sweat Loss","299 ml"
"3573","Fluid Consumed","-- ml"
"3574","Fluid Net","-299 ml"
"3575","Aerobic","3.7 Impacting"
"3576","Anaerobic","0.0 No Benefit"
"3577","Avg HR","160 bpm"
"3578","Max HR","175 bpm"
"3579","Time","49:54"
"3580","Moving Time","49:41"
"3581","Elapsed Time","50:46"
"3582","Avg Speed","7.6 mph"
"3583","Avg Moving Speed","7.6 mph"
"3584","Max Speed","9.3 mph"
"3585","Total Ascent","463.4 ft"
"3586","Total Descent","373.2 ft"
"3587","Min Elev","627.3 ft"
"3588","Max Elev","741.5 ft"
"3589","Avg Run Cadence","152 spm"
"3590","Max Run Cadence","171 spm"
"3591","Avg Stride Length","1.33 m"
"3592","title","Athens Running"
"3593","Distance","9.24 mi"
"3594","Calories Burned","1,034 C"
"3595","Calories Consumed","-- C"
"3596","Calories Net","-1,034 C"
"3597","Est. Sweat Loss","427 ml"
"3598","Fluid Consumed","-- ml"
"3599","Fluid Net","-427 ml"
"3600","Aerobic","3.6 Impacting"
"3601","Anaerobic","0.1 No Benefit"
"3602","Avg HR","155 bpm"
"3603","Max HR","170 bpm"
"3604","Time","1:11:10"
"3605","Moving Time","1:10:51"
"3606","Elapsed Time","1:14:03"
"3607","Avg Speed","7.8 mph"
"3608","Avg Moving Speed","7.8 mph"
"3609","Max Speed","9.5 mph"
"3610","Total Ascent","505.3 ft"
"3611","Total Descent","412.5 ft"
"3612","Min Elev","634.0 ft"
"3613","Max Elev","741.5 ft"
"3614","Avg Run Cadence","153 spm"
"3615","Max Run Cadence","167 spm"
"3616","Avg Stride Length","1.37 m"
"3617","title","Athens Running"
"3618","Distance","5.00 mi"
"3619","Calories Burned","645 C"
"3620","Calories Consumed","-- C"
"3621","Calories Net","-645 C"
"3622","Est. Sweat Loss","297 ml"
"3623","Fluid Consumed","-- ml"
"3624","Fluid Net","-297 ml"
"3625","Aerobic","2.7 Maintaining"
"3626","Anaerobic","0.0 No Benefit"
"3627","Avg HR","145 bpm"
"3628","Max HR","160 bpm"
"3629","Time","49:30"
"3630","Moving Time","49:29"
"3631","Elapsed Time","49:36"
"3632","Avg Speed","6.1 mph"
"3633","Avg Moving Speed","6.1 mph"
"3634","Max Speed","7.2 mph"
"3635","Total Ascent","323.2 ft"
"3636","Total Descent","275.1 ft"
"3637","Min Elev","630.0 ft"
"3638","Max Elev","741.5 ft"
"3639","Avg Run Cadence","145 spm"
"3640","Max Run Cadence","162 spm"
"3641","Avg Stride Length","1.12 m"
"3642","title","Athens Running"
"3643","Distance","3.18 mi"
"3644","Calories Burned","439 C"
"3645","Calories Consumed","-- C"
"3646","Calories Net","-439 C"
"3647","Est. Sweat Loss","202 ml"
"3648","Fluid Consumed","-- ml"
"3649","Fluid Net","-202 ml"
"3650","Aerobic","2.3 Maintaining"
"3651","Anaerobic","0.0 No Benefit"
"3652","Avg HR","142 bpm"
"3653","Max HR","158 bpm"
"3654","Time","33:42"
"3655","Moving Time","33:42"
"3656","Elapsed Time","33:42"
"3657","Avg Speed","5.7 mph"
"3658","Avg Moving Speed","5.7 mph"
"3659","Max Speed","6.7 mph"
"3660","Total Ascent","115.5 ft"
"3661","Total Descent","71.7 ft"
"3662","Min Elev","634.4 ft"
"3663","Max Elev","741.5 ft"
"3664","Avg Run Cadence","146 spm"
"3665","Max Run Cadence","158 spm"
"3666","Avg Stride Length","1.04 m"
"3667","title","Athens Running"
"3668","Distance","8.01 mi"
"3669","Calories Burned","973 C"
"3670","Calories Consumed","-- C"
"3671","Calories Net","-973 C"
"3672","Est. Sweat Loss","340 ml"
"3673","Fluid Consumed","-- ml"
"3674","Fluid Net","-340 ml"
"3675","Aerobic","4.6 Highly Impacting"
"3676","Anaerobic","0.0 No Benefit"
"3677","Avg HR","171 bpm"
"3678","Max HR","181 bpm"
"3679","Time","56:43"
"3680","Moving Time","56:23"
"3681","Elapsed Time","57:38"
"3682","Avg Speed","8.5 mph"
"3683","Avg Moving Speed","8.5 mph"
"3684","Max Speed","10.9 mph"
"3685","Total Ascent","495.3 ft"
"3686","Total Descent","432.1 ft"
"3687","Min Elev","631.6 ft"
"3688","Max Elev","741.5 ft"
"3689","Avg Run Cadence","154 spm"
"3690","Max Run Cadence","171 spm"
"3691","Avg Stride Length","1.48 m"
"3692","title","Athens Running"
"3693","Distance","16.01 mi"
"3694","Calories Burned","1,939 C"
"3695","Calories Consumed","-- C"
"3696","Calories Net","-1,939 C"
"3697","Est. Sweat Loss","739 ml"
"3698","Fluid Consumed","-- ml"
"3699","Fluid Net","-739 ml"
"3700","Aerobic","5.0 Overreaching"
"3701","Anaerobic","1.3 Some Benefit"
"3702","Avg HR","165 bpm"
"3703","Max HR","181 bpm"
"3704","Time","2:03:08"
"3705","Moving Time","2:02:27"
"3706","Elapsed Time","2:11:43"
"3707","Avg Speed","7.8 mph"
"3708","Avg Moving Speed","7.8 mph"
"3709","Max Speed","10.8 mph"
"3710","Total Ascent","847.4 ft"
"3711","Total Descent","872.8 ft"
"3712","Min Elev","580.7 ft"
"3713","Max Elev","780.8 ft"
"3714","Avg Run Cadence","152 spm"
"3715","Max Run Cadence","178 spm"
"3716","Avg Stride Length","1.38 m"
"3717","title","Athens Running"
"3718","Distance","5.01 mi"
"3719","Calories Burned","606 C"
"3720","Calories Consumed","-- C"
"3721","Calories Net","-606 C"
"3722","Est. Sweat Loss","213 ml"
"3723","Fluid Consumed","-- ml"
"3724","Fluid Net","-213 ml"
"3725","Aerobic","3.7 Impacting"
"3726","Anaerobic","0.0 No Benefit"
"3727","Avg HR","168 bpm"
"3728","Max HR","179 bpm"
"3729","Time","35:39"
"3730","Moving Time","35:36"
"3731","Elapsed Time","35:39"
"3732","Avg Speed","8.4 mph"
"3733","Avg Moving Speed","8.4 mph"
"3734","Max Speed","10.4 mph"
"3735","Total Ascent","229.7 ft"
"3736","Total Descent","177.9 ft"
"3737","Min Elev","632.8 ft"
"3738","Max Elev","741.5 ft"
"3739","Avg Run Cadence","156 spm"
"3740","Max Run Cadence","174 spm"
"3741","Avg Stride Length","1.45 m"
"3742","title","Athens Running"
"3743","Distance","6.32 mi"
"3744","Calories Burned","707 C"
"3745","Calories Consumed","-- C"
"3746","Calories Net","-707 C"
"3747","Est. Sweat Loss","270 ml"
"3748","Fluid Consumed","-- ml"
"3749","Fluid Net","-270 ml"
"3750","Aerobic","3.4 Impacting"
"3751","Anaerobic","2.8 Maintaining"
"3752","Avg HR","161 bpm"
"3753","Max HR","184 bpm"
"3754","Time","45:05"
"3755","Moving Time","44:58"
"3756","Elapsed Time","55:00"
"3757","Avg Speed","8.4 mph"
"3758","Avg Moving Speed","8.4 mph"
"3759","Max Speed","12.4 mph"
"3760","Total Ascent","35.5 ft"
"3761","Total Descent","30.6 ft"
"3762","Min Elev","718.5 ft"
"3763","Max Elev","736.1 ft"
"3764","Avg Run Cadence","154 spm"
"3765","Max Run Cadence","186 spm"
"3766","Avg Stride Length","1.45 m"
"3767","title","Athens Running"
"3768","Distance","3.55 mi"
"3769","Calories Burned","471 C"
"3770","Calories Consumed","-- C"
"3771","Calories Net","-471 C"
"3772","Est. Sweat Loss","199 ml"
"3773","Fluid Consumed","-- ml"
"3774","Fluid Net","-199 ml"
"3775","Aerobic","2.8 Maintaining"
"3776","Anaerobic","2.0 Maintaining"
"3777","Avg HR","152 bpm"
"3778","Max HR","182 bpm"
"3779","Time","33:12"
"3780","Moving Time","33:10"
"3781","Elapsed Time","33:12"
"3782","Avg Speed","6.4 mph"
"3783","Avg Moving Speed","6.4 mph"
"3784","Max Speed","14.4 mph"
"3785","Total Ascent","264.0 ft"
"3786","Total Descent","195.2 ft"
"3787","Min Elev","632.9 ft"
"3788","Max Elev","741.5 ft"
"3789","Avg Run Cadence","148 spm"
"3790","Max Run Cadence","186 spm"
"3791","Avg Stride Length","1.16 m"
"3792","title","Athens Running"
"3793","Distance","3.55 mi"
"3794","Calories Burned","471 C"
"3795","Calories Consumed","-- C"
"3796","Calories Net","-471 C"
"3797","Est. Sweat Loss","199 ml"
"3798","Fluid Consumed","-- ml"
"3799","Fluid Net","-199 ml"
"3800","Aerobic","2.8 Maintaining"
"3801","Anaerobic","2.0 Maintaining"
"3802","Avg HR","152 bpm"
"3803","Max HR","182 bpm"
"3804","Time","33:12"
"3805","Moving Time","33:10"
"3806","Elapsed Time","33:12"
"3807","Avg Speed","6.4 mph"
"3808","Avg Moving Speed","6.4 mph"
"3809","Max Speed","14.4 mph"
"3810","Total Ascent","264.0 ft"
"3811","Total Descent","195.2 ft"
"3812","Min Elev","632.9 ft"
"3813","Max Elev","741.5 ft"
"3814","Avg Run Cadence","148 spm"
"3815","Max Run Cadence","186 spm"
"3816","Avg Stride Length","1.16 m"
"3817","title","Athens Running"
"3818","Distance","3.55 mi"
"3819","Calories Burned","471 C"
"3820","Calories Consumed","-- C"
"3821","Calories Net","-471 C"
"3822","Est. Sweat Loss","199 ml"
"3823","Fluid Consumed","-- ml"
"3824","Fluid Net","-199 ml"
"3825","Aerobic","2.8 Maintaining"
"3826","Anaerobic","2.0 Maintaining"
"3827","Avg HR","152 bpm"
"3828","Max HR","182 bpm"
"3829","Time","33:12"
"3830","Moving Time","33:10"
"3831","Elapsed Time","33:12"
"3832","Avg Speed","6.4 mph"
"3833","Avg Moving Speed","6.4 mph"
"3834","Max Speed","14.4 mph"
"3835","Total Ascent","264.0 ft"
"3836","Total Descent","195.2 ft"
"3837","Min Elev","632.9 ft"
"3838","Max Elev","741.5 ft"
"3839","Avg Run Cadence","148 spm"
"3840","Max Run Cadence","186 spm"
"3841","Avg Stride Length","1.16 m"
"3842","title","Athens Running"
"3843","Distance","3.55 mi"
"3844","Calories Burned","471 C"
"3845","Calories Consumed","-- C"
"3846","Calories Net","-471 C"
"3847","Est. Sweat Loss","199 ml"
"3848","Fluid Consumed","-- ml"
"3849","Fluid Net","-199 ml"
"3850","Aerobic","2.8 Maintaining"
"3851","Anaerobic","2.0 Maintaining"
"3852","Avg HR","152 bpm"
"3853","Max HR","182 bpm"
"3854","Time","33:12"
"3855","Moving Time","33:10"
"3856","Elapsed Time","33:12"
"3857","Avg Speed","6.4 mph"
"3858","Avg Moving Speed","6.4 mph"
"3859","Max Speed","14.4 mph"
"3860","Total Ascent","264.0 ft"
"3861","Total Descent","195.2 ft"
"3862","Min Elev","632.9 ft"
"3863","Max Elev","741.5 ft"
"3864","Avg Run Cadence","148 spm"
"3865","Max Run Cadence","186 spm"
"3866","Avg Stride Length","1.16 m"
"3867","title","Athens Running"
"3868","Distance","3.55 mi"
"3869","Calories Burned","471 C"
"3870","Calories Consumed","-- C"
"3871","Calories Net","-471 C"
"3872","Est. Sweat Loss","199 ml"
"3873","Fluid Consumed","-- ml"
"3874","Fluid Net","-199 ml"
"3875","Aerobic","2.8 Maintaining"
"3876","Anaerobic","2.0 Maintaining"
"3877","Avg HR","152 bpm"
"3878","Max HR","182 bpm"
"3879","Time","33:12"
"3880","Moving Time","33:10"
"3881","Elapsed Time","33:12"
"3882","Avg Speed","6.4 mph"
"3883","Avg Moving Speed","6.4 mph"
"3884","Max Speed","14.4 mph"
"3885","Total Ascent","264.0 ft"
"3886","Total Descent","195.2 ft"
"3887","Min Elev","632.9 ft"
"3888","Max Elev","741.5 ft"
"3889","Avg Run Cadence","148 spm"
"3890","Max Run Cadence","186 spm"
"3891","Avg Stride Length","1.16 m"
"3892","title","Athens Running"
"3893","Distance","3.55 mi"
"3894","Calories Burned","471 C"
"3895","Calories Consumed","-- C"
"3896","Calories Net","-471 C"
"3897","Est. Sweat Loss","199 ml"
"3898","Fluid Consumed","-- ml"
"3899","Fluid Net","-199 ml"
"3900","Aerobic","2.8 Maintaining"
"3901","Anaerobic","2.0 Maintaining"
"3902","Avg HR","152 bpm"
"3903","Max HR","182 bpm"
"3904","Time","33:12"
"3905","Moving Time","33:10"
"3906","Elapsed Time","33:12"
"3907","Avg Speed","6.4 mph"
"3908","Avg Moving Speed","6.4 mph"
"3909","Max Speed","14.4 mph"
"3910","Total Ascent","264.0 ft"
"3911","Total Descent","195.2 ft"
"3912","Min Elev","632.9 ft"
"3913","Max Elev","741.5 ft"
"3914","Avg Run Cadence","148 spm"
"3915","Max Run Cadence","186 spm"
"3916","Avg Stride Length","1.16 m"
"3917","title","Athens Running"
"3918","Distance","3.55 mi"
"3919","Calories Burned","471 C"
"3920","Calories Consumed","-- C"
"3921","Calories Net","-471 C"
"3922","Est. Sweat Loss","199 ml"
"3923","Fluid Consumed","-- ml"
"3924","Fluid Net","-199 ml"
"3925","Aerobic","2.8 Maintaining"
"3926","Anaerobic","2.0 Maintaining"
"3927","Avg HR","152 bpm"
"3928","Max HR","182 bpm"
"3929","Time","33:12"
"3930","Moving Time","33:10"
"3931","Elapsed Time","33:12"
"3932","Avg Speed","6.4 mph"
"3933","Avg Moving Speed","6.4 mph"
"3934","Max Speed","14.4 mph"
"3935","Total Ascent","264.0 ft"
"3936","Total Descent","195.2 ft"
"3937","Min Elev","632.9 ft"
"3938","Max Elev","741.5 ft"
"3939","Avg Run Cadence","148 spm"
"3940","Max Run Cadence","186 spm"
"3941","Avg Stride Length","1.16 m"
"3942","title","Athens Running"
"3943","Distance","3.55 mi"
"3944","Calories Burned","471 C"
"3945","Calories Consumed","-- C"
"3946","Calories Net","-471 C"
"3947","Est. Sweat Loss","199 ml"
"3948","Fluid Consumed","-- ml"
"3949","Fluid Net","-199 ml"
"3950","Aerobic","2.8 Maintaining"
"3951","Anaerobic","2.0 Maintaining"
"3952","Avg HR","152 bpm"
"3953","Max HR","182 bpm"
"3954","Time","33:12"
"3955","Moving Time","33:10"
"3956","Elapsed Time","33:12"
"3957","Avg Speed","6.4 mph"
"3958","Avg Moving Speed","6.4 mph"
"3959","Max Speed","14.4 mph"
"3960","Total Ascent","264.0 ft"
"3961","Total Descent","195.2 ft"
"3962","Min Elev","632.9 ft"
"3963","Max Elev","741.5 ft"
"3964","Avg Run Cadence","148 spm"
"3965","Max Run Cadence","186 spm"
"3966","Avg Stride Length","1.16 m"
"3967","title","Athens Running"
"3968","Distance","3.55 mi"
"3969","Calories Burned","471 C"
"3970","Calories Consumed","-- C"
"3971","Calories Net","-471 C"
"3972","Est. Sweat Loss","199 ml"
"3973","Fluid Consumed","-- ml"
"3974","Fluid Net","-199 ml"
"3975","Aerobic","2.8 Maintaining"
"3976","Anaerobic","2.0 Maintaining"
"3977","Avg HR","152 bpm"
"3978","Max HR","182 bpm"
"3979","Time","33:12"
"3980","Moving Time","33:10"
"3981","Elapsed Time","33:12"
"3982","Avg Speed","6.4 mph"
"3983","Avg Moving Speed","6.4 mph"
"3984","Max Speed","14.4 mph"
"3985","Total Ascent","264.0 ft"
"3986","Total Descent","195.2 ft"
"3987","Min Elev","632.9 ft"
"3988","Max Elev","741.5 ft"
"3989","Avg Run Cadence","148 spm"
"3990","Max Run Cadence","186 spm"
"3991","Avg Stride Length","1.16 m"
"3992","title","Athens Running"
"3993","Distance","3.55 mi"
"3994","Calories Burned","471 C"
"3995","Calories Consumed","-- C"
"3996","Calories Net","-471 C"
"3997","Est. Sweat Loss","199 ml"
"3998","Fluid Consumed","-- ml"
"3999","Fluid Net","-199 ml"
"4000","Aerobic","2.8 Maintaining"
"4001","Anaerobic","2.0 Maintaining"
"4002","Avg HR","152 bpm"
"4003","Max HR","182 bpm"
"4004","Time","33:12"
"4005","Moving Time","33:10"
"4006","Elapsed Time","33:12"
"4007","Avg Speed","6.4 mph"
"4008","Avg Moving Speed","6.4 mph"
"4009","Max Speed","14.4 mph"
"4010","Total Ascent","264.0 ft"
"4011","Total Descent","195.2 ft"
"4012","Min Elev","632.9 ft"
"4013","Max Elev","741.5 ft"
"4014","Avg Run Cadence","148 spm"
"4015","Max Run Cadence","186 spm"
"4016","Avg Stride Length","1.16 m"
"4017","title","Athens Running"
"4018","Distance","3.20 mi"
"4019","Calories Burned","410 C"
"4020","Calories Consumed","-- C"
"4021","Calories Net","-410 C"
"4022","Est. Sweat Loss","185 ml"
"4023","Fluid Consumed","-- ml"
"4024","Fluid Net","-185 ml"
"4025","Aerobic","2.4 Maintaining"
"4026","Anaerobic","0.0 No Benefit"
"4027","Avg HR","142 bpm"
"4028","Max HR","164 bpm"
"4029","Time","30:53"
"4030","Moving Time","30:51"
"4031","Elapsed Time","30:53"
"4032","Avg Speed","6.2 mph"
"4033","Avg Moving Speed","6.2 mph"
"4034","Max Speed","7.5 mph"
"4035","Total Ascent","117.2 ft"
"4036","Total Descent","46.2 ft"
"4037","Min Elev","634.7 ft"
"4038","Max Elev","741.5 ft"
"4039","Avg Run Cadence","150 spm"
"4040","Max Run Cadence","157 spm"
"4041","Avg Stride Length","1.11 m"
"4042","title","Athens Running"
"4043","Distance","8.01 mi"
"4044","Calories Burned","976 C"
"4045","Calories Consumed","-- C"
"4046","Calories Net","-976 C"
"4047","Est. Sweat Loss","370 ml"
"4048","Fluid Consumed","-- ml"
"4049","Fluid Net","-370 ml"
"4050","Aerobic","3.9 Impacting"
"4051","Anaerobic","1.0 Some Benefit"
"4052","Avg HR","161 bpm"
"4053","Max HR","176 bpm"
"4054","Time","1:01:43"
"4055","Moving Time","1:01:32"
"4056","Elapsed Time","1:02:36"
"4057","Avg Speed","7.8 mph"
"4058","Avg Moving Speed","7.8 mph"
"4059","Max Speed","14.2 mph"
"4060","Total Ascent","507.4 ft"
"4061","Total Descent","421.3 ft"
"4062","Min Elev","633.5 ft"
"4063","Max Elev","741.5 ft"
"4064","Avg Run Cadence","154 spm"
"4065","Max Run Cadence","192 spm"
"4066","Avg Stride Length","1.36 m"
"4067","title","Athens Running"
"4068","Distance","3.21 mi"
"4069","Calories Burned","415 C"
"4070","Calories Consumed","-- C"
"4071","Calories Net","-415 C"
"4072","Est. Sweat Loss","196 ml"
"4073","Fluid Consumed","-- ml"
"4074","Fluid Net","-196 ml"
"4075","Aerobic","2.2 Maintaining"
"4076","Anaerobic","0.0 No Benefit"
"4077","Avg HR","140 bpm"
"4078","Max HR","158 bpm"
"4079","Time","32:50"
"4080","Moving Time","32:34"
"4081","Elapsed Time","33:05"
"4082","Avg Speed","5.9 mph"
"4083","Avg Moving Speed","5.9 mph"
"4084","Max Speed","7.2 mph"
"4085","Total Ascent","124.6 ft"
"4086","Total Descent","90.1 ft"
"4087","Min Elev","632.8 ft"
"4088","Max Elev","741.5 ft"
"4089","Avg Run Cadence","146 spm"
"4090","Max Run Cadence","160 spm"
"4091","Avg Stride Length","1.07 m"
"4092","title","Athens Running"
"4093","Distance","13.12 mi"
"4094","Calories Burned","1,533 C"
"4095","Calories Consumed","-- C"
"4096","Calories Net","-1,533 C"
"4097","Est. Sweat Loss","593 ml"
"4098","Fluid Consumed","-- ml"
"4099","Fluid Net","-593 ml"
"4100","Aerobic","4.5 Highly Impacting"
"4101","Anaerobic","0.7 No Benefit"
"4102","Avg HR","163 bpm"
"4103","Max HR","178 bpm"
"4104","Time","1:38:49"
"4105","Moving Time","1:38:01"
"4106","Elapsed Time","1:43:38"
"4107","Avg Speed","8.0 mph"
"4108","Avg Moving Speed","8.0 mph"
"4109","Max Speed","10.2 mph"
"4110","Total Ascent","803.7 ft"
"4111","Total Descent","770.8 ft"
"4112","Min Elev","580.7 ft"
"4113","Max Elev","780.8 ft"
"4114","Avg Run Cadence","154 spm"
"4115","Max Run Cadence","180 spm"
"4116","Avg Stride Length","1.38 m"
"4117","title","Athens Running"
"4118","Distance","6.01 mi"
"4119","Calories Burned","762 C"
"4120","Calories Consumed","-- C"
"4121","Calories Net","-762 C"
"4122","Est. Sweat Loss","283 ml"
"4123","Fluid Consumed","-- ml"
"4124","Fluid Net","-283 ml"
"4125","Aerobic","3.7 Impacting"
"4126","Anaerobic","0.5 No Benefit"
"4127","Avg HR","163 bpm"
"4128","Max HR","185 bpm"
"4129","Time","47:19"
"4130","Moving Time","47:11"
"4131","Elapsed Time","48:27"
"4132","Avg Speed","7.6 mph"
"4133","Avg Moving Speed","7.6 mph"
"4134","Max Speed","9.5 mph"
"4135","Total Ascent","435.0 ft"
"4136","Total Descent","336.2 ft"
"4137","Min Elev","632.7 ft"
"4138","Max Elev","741.5 ft"
"4139","Avg Run Cadence","156 spm"
"4140","Max Run Cadence","172 spm"
"4141","Avg Stride Length","1.31 m"
"4142","title","Athens Running"
"4143","Distance","6.02 mi"
"4144","Calories Burned","744 C"
"4145","Calories Consumed","-- C"
"4146","Calories Net","-744 C"
"4147","Est. Sweat Loss","277 ml"
"4148","Fluid Consumed","-- ml"
"4149","Fluid Net","-277 ml"
"4150","Aerobic","3.8 Impacting"
"4151","Anaerobic","0.1 No Benefit"
"4152","Avg HR","162 bpm"
"4153","Max HR","183 bpm"
"4154","Time","46:15"
"4155","Moving Time","45:56"
"4156","Elapsed Time","46:26"
"4157","Avg Speed","7.8 mph"
"4158","Avg Moving Speed","7.9 mph"
"4159","Max Speed","9.1 mph"
"4160","Total Ascent","397.2 ft"
"4161","Total Descent","302.6 ft"
"4162","Min Elev","631.7 ft"
"4163","Max Elev","741.5 ft"
"4164","Avg Run Cadence","155 spm"
"4165","Max Run Cadence","170 spm"
"4166","Avg Stride Length","1.35 m"
"4167","title","Athens Running"
"4168","Distance","6.24 mi"
"4169","Calories Burned","792 C"
"4170","Calories Consumed","-- C"
"4171","Calories Net","-792 C"
"4172","Est. Sweat Loss","354 ml"
"4173","Fluid Consumed","-- ml"
"4174","Fluid Net","-354 ml"
"4175","Aerobic","3.0 Impacting"
"4176","Anaerobic","0.0 No Benefit"
"4177","Avg HR","147 bpm"
"4178","Max HR","172 bpm"
"4179","Time","59:08"
"4180","Moving Time","58:48"
"4181","Elapsed Time","1:00:37"
"4182","Avg Speed","6.3 mph"
"4183","Avg Moving Speed","6.4 mph"
"4184","Max Speed","12.7 mph"
"4185","Total Ascent","384.2 ft"
"4186","Total Descent","295.6 ft"
"4187","Min Elev","632.8 ft"
"4188","Max Elev","741.5 ft"
"4189","Avg Run Cadence","149 spm"
"4190","Max Run Cadence","192 spm"
"4191","Avg Stride Length","1.14 m"
"4192","title","Athens Running"
"4193","Distance","6.01 mi"
"4194","Calories Burned","758 C"
"4195","Calories Consumed","-- C"
"4196","Calories Net","-758 C"
"4197","Est. Sweat Loss","288 ml"
"4198","Fluid Consumed","-- ml"
"4199","Fluid Net","-288 ml"
"4200","Aerobic","3.5 Impacting"
"4201","Anaerobic","0.1 No Benefit"
"4202","Avg HR","159 bpm"
"4203","Max HR","174 bpm"
"4204","Time","48:04"
"4205","Moving Time","47:56"
"4206","Elapsed Time","48:25"
"4207","Avg Speed","7.5 mph"
"4208","Avg Moving Speed","7.5 mph"
"4209","Max Speed","8.6 mph"
"4210","Total Ascent","411.5 ft"
"4211","Total Descent","328.0 ft"
"4212","Min Elev","632.5 ft"
"4213","Max Elev","741.5 ft"
"4214","Avg Run Cadence","154 spm"
"4215","Max Run Cadence","165 spm"
"4216","Avg Stride Length","1.29 m"
"4217","title","Athens Running"
"4218","Distance","15.01 mi"
"4219","Calories Burned","1,792 C"
"4220","Calories Consumed","-- C"
"4221","Calories Net","-1,792 C"
"4222","Est. Sweat Loss","769 ml"
"4223","Fluid Consumed","-- ml"
"4224","Fluid Net","-769 ml"
"4225","Aerobic","4.2 Highly Impacting"
"4226","Anaerobic","0.4 No Benefit"
"4227","Avg HR","157 bpm"
"4228","Max HR","175 bpm"
"4229","Time","2:08:17"
"4230","Moving Time","2:07:24"
"4231","Elapsed Time","2:16:01"
"4232","Avg Speed","7.0 mph"
"4233","Avg Moving Speed","7.1 mph"
"4234","Max Speed","10.1 mph"
"4235","Total Ascent","807.2 ft"
"4236","Total Descent","761.4 ft"
"4237","Min Elev","580.7 ft"
"4238","Max Elev","780.8 ft"
"4239","Avg Run Cadence","151 spm"
"4240","Max Run Cadence","198 spm"
"4241","Avg Stride Length","1.25 m"
"4242","title","Athens Running"
"4243","Distance","3.84 mi"
"4244","Calories Burned","543 C"
"4245","Calories Consumed","-- C"
"4246","Calories Net","-543 C"
"4247","Est. Sweat Loss","226 ml"
"4248","Fluid Consumed","-- ml"
"4249","Fluid Net","-226 ml"
"4250","Aerobic","2.9 Maintaining"
"4251","Anaerobic","0.0 No Benefit"
"4252","Avg HR","151 bpm"
"4253","Max HR","166 bpm"
"4254","Time","37:49"
"4255","Moving Time","37:19"
"4256","Elapsed Time","40:42"
"4257","Avg Speed","6.1 mph"
"4258","Avg Moving Speed","6.2 mph"
"4259","Max Speed","10.5 mph"
"4260","Total Ascent","200.2 ft"
"4261","Total Descent","209.5 ft"
"4262","Min Elev","631.0 ft"
"4263","Max Elev","780.8 ft"
"4264","Avg Run Cadence","144 spm"
"4265","Max Run Cadence","172 spm"
"4266","Avg Stride Length","1.14 m"
"4267","title","Athens Running"
"4268","Distance","6.02 mi"
"4269","Calories Burned","779 C"
"4270","Calories Consumed","-- C"
"4271","Calories Net","-779 C"
"4272","Est. Sweat Loss","285 ml"
"4273","Fluid Consumed","-- ml"
"4274","Fluid Net","-285 ml"
"4275","Aerobic","3.9 Impacting"
"4276","Anaerobic","2.0 Maintaining"
"4277","Avg HR","164 bpm"
"4278","Max HR","190 bpm"
"4279","Time","47:32"
"4280","Moving Time","47:31"
"4281","Elapsed Time","47:38"
"4282","Avg Speed","7.6 mph"
"4283","Avg Moving Speed","7.6 mph"
"4284","Max Speed","11.9 mph"
"4285","Total Ascent","249.8 ft"
"4286","Total Descent","244.7 ft"
"4287","Min Elev","631.8 ft"
"4288","Max Elev","741.5 ft"
"4289","Avg Run Cadence","151 spm"
"4290","Max Run Cadence","180 spm"
"4291","Avg Stride Length","1.35 m"
"4292","title","Athens Running"
"4293","Distance","8.01 mi"
"4294","Calories Burned","1,037 C"
"4295","Calories Consumed","-- C"
"4296","Calories Net","-1,037 C"
"4297","Est. Sweat Loss","387 ml"
"4298","Fluid Consumed","-- ml"
"4299","Fluid Net","-387 ml"
"4300","Aerobic","4.0 Highly Impacting"
"4301","Anaerobic","0.0 No Benefit"
"4302","Avg HR","162 bpm"
"4303","Max HR","178 bpm"
"4304","Time","1:04:37"
"4305","Moving Time","1:04:20"
"4306","Elapsed Time","1:05:20"
"4307","Avg Speed","7.4 mph"
"4308","Avg Moving Speed","7.5 mph"
"4309","Max Speed","14.4 mph"
"4310","Total Ascent","518.6 ft"
"4311","Total Descent","430.4 ft"
"4312","Min Elev","632.5 ft"
"4313","Max Elev","741.5 ft"
"4314","Avg Run Cadence","152 spm"
"4315","Max Run Cadence","204 spm"
"4316","Avg Stride Length","1.31 m"
"4317","title","Athens Running"
"4318","Distance","3.25 mi"
"4319","Calories Burned","410 C"
"4320","Calories Consumed","-- C"
"4321","Calories Net","-410 C"
"4322","Est. Sweat Loss","164 ml"
"4323","Fluid Consumed","-- ml"
"4324","Fluid Net","-164 ml"
"4325","Aerobic","3.0 Impacting"
"4326","Anaerobic","1.5 Some Benefit"
"4327","Avg HR","153 bpm"
"4328","Max HR","184 bpm"
"4329","Time","27:27"
"4330","Moving Time","27:26"
"4331","Elapsed Time","27:27"
"4332","Avg Speed","7.1 mph"
"4333","Avg Moving Speed","7.1 mph"
"4334","Max Speed","11.7 mph"
"4335","Total Ascent","120.8 ft"
"4336","Total Descent","74.6 ft"
"4337","Min Elev","635.1 ft"
"4338","Max Elev","741.5 ft"
